Year;pop;ISO3166_alpha3;ISO3166_numeric;biodiesel_cons_kbd;biodiesel_cons_kboed;biodiesel_cons_ktoe;biodiesel_cons_pj;biodiesel_prod_kbd;biodiesel_prod_kboed;biodiesel_prod_ktoe;biodiesel_prod_pj;biofuels_cons_ej;biofuels_cons_kbd;biofuels_cons_kboed;biofuels_cons_ktoe;biofuels_cons_mtoe;biofuels_cons_pj;biofuels_prod_kbd;biofuels_prod_kboed;biofuels_prod_ktoe;biofuels_prod_pj;biogeo_ej;biogeo_mtoe;biogeo_twh;co2_mtco2;coalcons_ej;coalcons_mtoe;coalprod_ej;coalprod_mt;coalprod_mtoe;cobalt_kt;elect_twh;electbyfuel_coal;electbyfuel_gas;electbyfuel_oil;ethanol_cons_kbd;ethanol_cons_kboed;ethanol_cons_ktoe;ethanol_cons_pj;ethanol_prod_kbd;ethanol_prod_kboed;ethanol_prod_ktoe;ethanol_prod_pj;gascons_bcfd;gascons_bcm;gascons_ej;gascons_mtoe;gasprod_bcfd;gasprod_bcm;gasprod_ej;gasprod_mtoe;gasreserves_tcm;graphite_kt;hydro_ej;hydro_mtoe;hydro_twh;liqcons_kbd;lithium_kt;nuclear_ej;nuclear_mtoe;nuclear_twh;oilcons_ej;oilcons_kbd;oilcons_mt;oilcons_mtoe;oilprod_crudecond_kbd;oilprod_kbd;oilprod_mt;oilprod_ngl_kbd;oilreserves_bbl;primary_ej;primary_gj_pc;primary_mtoe;rareearths_kt;refcap_kbd;refthru_kbd;ren_power_ej;ren_power_mtoe;ren_power_twh;renewables_ej;renewables_mtoe;solar_ej;solar_mtoe;solar_twh;wind_ej;wind_mtoe;wind_twh
1985;22,431507;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;72,56;0,04;0,86;;;;;12,27;;;;;;;;;;;;1,49;15,38;0,55;13,23;3,61;37,34;1,34;32,11;3,22;;0,01;0,15;0,65;176,33;;0,00;0,00;0,00;0,35;176,33;7,97;8,30;;1087,03;47,06;;8,82;0,94;42,08;22,54;;440,00;407,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1986;23,102386;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;79,77;0,04;0,89;;;;;12,98;;;;;;;;;;;;1,63;16,84;0,61;14,48;3,69;38,19;1,37;32,84;3,14;;0,00;0,06;0,25;179,95;;0,00;0,00;0,00;0,35;179,95;8,08;8,43;;1126,00;48,48;;8,80;1,00;43,23;23,86;;434,00;434,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1987;23,774287;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;77,42;0,04;1,06;;;;;12,72;;;;;;;;;;;;1,67;17,23;0,62;14,81;4,17;43,10;1,55;37,06;3,04;;0,00;0,12;0,50;182,64;;0,00;0,00;0,00;0,36;182,64;8,16;8,52;;1178,14;50,20;;8,56;1,03;43,17;24,51;;434,00;411,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1988;24,443472;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;78,21;0,04;1,00;;;;;13,97;;;;;;;;;;;;1,87;19,41;0,70;16,69;4,35;45,06;1,62;38,74;3,11;;0,00;0,04;0,18;181,76;;0,00;0,00;0,00;0,36;181,76;8,17;8,53;;1232,92;52,58;;9,20;1,10;44,98;26,26;;434,00;436,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1989;25,106192;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;77,19;0,04;0,84;;;;;15,32;;;;;;;;;;;;1,77;18,27;0,66;15,71;4,70;48,58;1,75;41,77;3,13;;0,00;0,05;0,23;191,97;;0,00;0,00;0,00;0,37;191,97;8,55;8,94;;1276,40;54,48;;9,24;1,07;42,59;25,54;;434,00;416,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1990;25,758872;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;74,25;0,03;0,66;;;;;16,10;;;;;;;;;;;;1,89;19,51;0,70;16,78;5,00;51,66;1,86;44,42;3,18;;0,00;0,03;0,14;212,25;;0,00;0,00;0,00;0,40;212,25;9,16;9,61;;1366,60;58,36;;9,20;1,13;44,02;27,08;;434,00;421,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1991;26,400468;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;74,14;0,03;0,68;;;;;17,35;;;;;;;;;;;;1,86;19,27;0,69;16,57;5,39;55,70;2,01;47,90;3,49;;0,00;0,07;0,29;207,48;;0,00;0,00;0,00;0,40;207,48;9,07;9,51;;1372,67;58,69;;9,20;1,12;42,55;26,83;;434,00;421,81;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1992;27,02833;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;75,58;0,03;0,81;;;;;18,29;;;;;;;;;;;;1,92;19,89;0,72;17,11;5,60;58,00;2,09;49,87;3,51;;0,00;0,05;0,20;209,64;;0,00;0,00;0,00;0,40;209,64;9,11;9,57;;1320,57;56,50;;9,20;1,15;42,65;27,53;;434,00;423,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1993;27,635517;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;75,36;0,03;0,66;;;;;19,41;;;;;;;;;;;;1,73;17,85;0,64;15,35;5,68;58,75;2,11;50,51;3,56;;0,00;0,08;0,35;208,37;;0,00;0,00;0,00;0,40;208,37;9,08;9,52;;1321,58;56,32;;9,20;1,07;38,81;25,62;;434,00;419,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1994;28,213777;DZA;12,00;;;;;;;;;0,00;;;;0,00;;;;;;0,00;0,00;0,00;76,34;0,03;0,62;;;;;19,88;;;;;;;;;;;;1,82;18,82;0,68;16,18;5,23;54,01;1,94;46,44;2,85;;0,00;0,04;0,17;202,17;;0,00;0,00;0,00;0,38;202,17;8,67;9,12;;1317,14;56,07;;9,98;1,09;38,52;25,96;;434,00;396,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
